doi,pmid,title,paper_type,relevance_score_llm,biological_context,data_modalities_used,annotation_status,llm_query_date,llm_model,is_method_paper,is_method_comparison_paper,review_type,methodology_type,covered_analysis_steps,pipeline_package_name,main_goals,data_links_mentioned,code_availability.status,code_availability.link_in_abstract_or_title,is_spatial_omics,is_disease_specific_review,is_pipeline_paper,is_review_paper,curated_data_modalities_used,modalities_general,tissue,disease,animal
10.1016/j.ecoenv.2025.118522,40532600,Multi-omics reveals the polyethylene terephthalate carcinogenicity: Cancer progression and immune microenvironment.,application,relevant,PET carcinogenicity and cancer progression,"['single-cell RNA sequencing', 'spatial transcriptomics', 'pan-cancer expression profiling']",weak_llm_annotated,2025-06-26T02:18:38.160668,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"This study integrates multi-omics (network toxicology, machine learning, molecular docking, single-cell RNA sequencing, spatial transcriptomics) and experimental validation to systematically investigate the mechanistic underpinnings of PET carcinogenicity. It aims to identify PET-associated oncogenic targets, analyze their prognostic value in pan-cancer, and delineate the pathways involved in PET-driven tumorigenesis and immune microenvironment changes.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics']",,Cancer (General),
10.21037/tau-2024-677,40529024,Identification of core genes in acute kidney injury: evidence from multi-omics human transcriptomic data and <i>in vivo</i> models.,application,relevant,Acute kidney injury in human and mouse kidney,"['sequencing', 'snRNA-seq', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T02:19:16.271096,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"Identify core genes in acute kidney injury (AKI) by integrating multi-omics human transcriptomic data and validating findings in mouse models. Explore the mechanisms of these genes, focusing on SUGCT's role in proximal tubules using snRNA-seq and spatial transcriptomics. Provide potential diagnostic and therapeutic targets for AKI.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-nucleus_RNA-seq(snRNA-seq)', 'other_methods']","['spatial_transcriptomics', 'transcriptomics', 'other_methods']",Kidney,,Human
10.1038/s41417-025-00919-3,40527978,Identification of an immunomodulatory lncRNA signature associated with immune cell reprogramming in high-grade glioma.,application,relevant,High-grade glioma / Glioblastoma,"['transcriptomics', 'single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T02:19:53.527908,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Spatial Distribution Analysis']",N/A,"Identify immunomodulatory lncRNA signatures associated with the tumor immune microenvironment (TME) in high-grade gliomas. Use transcriptomics, scRNA-seq, and spatial transcriptomics to find context-dependent lncRNA expression in immune cells and their spatial distribution within the TME. Correlate specific lncRNAs with immunosuppression and immune evasion mechanisms.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),Cancer (General),
10.1111/liv.70172,40522253,Analysis of Hyperexpanded T Cell Clones in SARS-CoV-2 Vaccine-Associated Liver Injury by Spatial Proteomics and Transcriptomics.,application,relevant,SARS-CoV-2 vaccine-associated liver injury in human liver,"['T cell receptor sequencing', 'multiplex immunofluorescence (mIF)', 'RNA in situ hybridisation (RISH)', 'spatial transcriptomics', 'Xenium', 'spatial proteomics']",weak_llm_annotated,2025-06-26T02:21:59.451713,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell Localization', 'Cell Characterization']",N/A,"This paper aims to characterize the immune infiltrate in a liver explant from a patient with severe SARS-CoV-2 vaccine-associated liver injury (SVALI). Using spatial multi-omics techniques, the study identifies and localizes hyperexpanded cytotoxic and tissue-resident CD8+ T cell clones throughout the liver, suggesting their role in SVALI pathogenesis.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Xenium_In_Situ', 'general_spatial_proteomics', 'Immunofluorescence(IF)', 'other_methods', 'RNA_in_situ_hybridization']","['spatial_transcriptomics', 'spatial_proteomics', 'other_methods']",Liver,Infectious Disease,Human
10.1186/s12943-025-02377-9,40518526,Single-cell multi-omics reveals that FABP1 + renal cell carcinoma drive tumor angiogenesis through the PLG-PLAT axis under fatty acid reprogramming.,application,relevant,Renal cell carcinoma,"['Single-cell Analysis', 'spatial transcriptomics', 'Multiomics']",weak_llm_annotated,2025-06-26T02:23:06.753083,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis', 'Pathway Analysis', 'Trajectory Inference', 'Visualization']",N/A,To investigate fatty acid metabolism reprogramming in renal cell carcinoma using multi-omics. The study identifies FABP1+ tumors driving angiogenesis via the PLG-PLAT axis and suggests this axis as a potential therapeutic target.,[],Not mentioned,N/A,,,,,"['analysis_related_terms', 'general_omics', 'general_spatial_transcriptomics']","['spatial_transcriptomics', 'analysis_related_terms', 'general_omics']",Kidney,Cancer (General),
10.1016/j.jdermsci.2025.05.002,40517126,PRRX1 is a key regulator in the phenotypic transition between human normal dermal and keloid fibroblasts.,application,relevant,"Human skin (foetal, postnatal, keloid), wound healing, scarring","['spatial transcriptomics', 'histology images']",weak_llm_annotated,2025-06-26T02:23:39.809339,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To investigate the cellular and molecular characteristics underlying scarless healing by comparing human foetal skin, postnatal skin, and keloid tissue using spatial transcriptomics and histology. The study identified key differences, focusing on fibroblast heterogeneity and the role of PRRX1 in the phenotypic transition between normal and keloid fibroblasts, with the aim of finding factors for promoting scarless wound healing.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images']","['spatial_transcriptomics', 'histology']",Skin,Wound Healing/Scarring,Human
10.1038/s41467-025-59805-z,40514380,Resolving spatial subclonal genomic heterogeneity of loss of heterozygosity and extrachromosomal DNA in gliomas.,application,relevant,Human gliomas/glioblastomas,"['spatial transcriptomics', 'sequencing']",weak_llm_annotated,2025-06-26T02:24:54.914962,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Domain Identification', 'Copy Number Variation Analysis']",N/A,To map the spatial organization of DNA-level somatic copy number changes and extrachromosomal DNA in gliomas using an integrated framework of spatial transcriptomics and sequencing. To identify shared and distinct spatial subclonal heterogeneity characteristics and understand the role of ecDNA in tumor adaptability.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'other_methods']","['spatial_transcriptomics', 'other_methods']",Nervous System (Brain/CNS),,Human
10.1101/2025.06.02.656433,40502191,A spatial transcriptomic atlas of acute neonatal lung injury across development and disease severity.,application,relevant,"Human infant lung development and injury (neonatal, preterm birth)","['imaging-based spatial transcriptomics', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T02:27:47.279061,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Clustering', 'Spatial Gene Expression Analysis', 'Spatial Domain Identification']",N/A,Create a spatial transcriptomic atlas of human infant lungs across development and injury using imaging-based spatial transcriptomics. Apply computational clustering to identify spatial patterns related to development and disease severity (gestational age/life span). Provide an open resource for the lung research community.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'GeoMx_Digital_Spatial_Profiling']","['spatial_transcriptomics', 'spatial multiomics']",Lung,,Human
10.1101/2025.05.25.654911,40501673,Spatiotemporal transcriptomic analysis during cold ischemic injury to the murine kidney reveals compartment-specific changes.,application,relevant,Murine kidney cold ischemic injury during transplantation,['spatial transcriptomics'],weak_llm_annotated,2025-06-26T02:28:52.416080,models/gemini-2.5-flash-preview-04-17,False,False,N/A,workflow,"['Spatial Gene Expression Analysis', 'Spatial Domain Identification', 'Visualization']",N/A,"To characterize cold ischemia injury in murine kidneys using spatial transcriptomics across different time points. The study aims to identify spatiotemporal and compartment-specific molecular changes, understand potential metabolic reprogramming, and compare findings with warm ischemia-reperfusion injury.",['https://jef.works/vitessce-cold-ischemia/'],Not mentioned,N/A,,,,,['general_spatial_transcriptomics'],['spatial_transcriptomics'],Kidney,,Rodent
10.1101/2025.05.24.655962,40501545,Spatiotemporal Single-Cell Analysis Reveals T Cell Clonal Dynamics and Phenotypic Plasticity in Human Graft-versus-Host Disease.,application,relevant,"Human Graft-versus-Host Disease (GVHD) after allogeneic hematopoietic cell transplantation (alloHCT), in blood and gut","['mixed lymphocyte reaction-based clonal ""fingerprinting""', 'TCR clonotyping', 'single-cell RNA/TCR sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T02:29:14.088474,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Clustering', 'Spatial Gene Expression Analysis', 'Integration with other omics']",DecompTCR,To dissect T-cell-mediated pathology in human GVHD using integrated spatiotemporal single-cell analysis. To uncover clonal dynamics and phenotypic plasticity linked to GVHD severity. To identify spatial localization patterns of T cells in the gut.,[],Not mentioned,N/A,,,,,"['TCR_related', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)', 'general_spatial_transcriptomics']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics']",Blood/Immune System,,Human
10.1038/s42003-025-08315-1,40500276,"Spatial organization, chromatin accessibility and gene-regulatory programs defining mouse sensory neurons.",application,relevant,Mouse sensory neurons,"['scRNA-seq', 'MERSCOPE', 'spatial transcriptomics', 'chromatin accessibility']",weak_llm_annotated,2025-06-26T02:29:58.334713,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"Present an integrated atlas of mouse sensory neurons using scRNA-seq, spatial transcriptomics (MERSCOPE), and chromatin accessibility data. Confirm cell types and spatial organization. Elucidate gene regulatory programs defining sensory neuron diversity.",[],Not mentioned,N/A,,,,,"['other_methods', 'general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)', 'MERSCOPE']","['spatial_transcriptomics', 'transcriptomics', 'other_methods']",Nervous System (Brain/CNS),,Rodent
10.1002/eji.202451218,40498289,Identification and Mapping of Human Lymph Node Stromal Cell Subsets by Combining Single-Cell RNA Sequencing with Spatial Transcriptomics.,application,relevant,Healthy human lymph node,"['scRNA-seq', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T02:31:02.619113,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Clustering', 'Spatial Gene Expression Analysis', 'Integration with other omics', 'Cell-Cell Interaction Analysis']",N/A,"To identify and characterize human lymph node stromal cell (LNSC) subtypes using scRNA-seq, validate these subtypes across multiple donors, and map their spatial locations within the lymph node using spatial transcriptomics integration to understand their potential interactions with lymphocytes.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Blood/Immune System,Normal/Healthy,Human
10.1093/gpbjnl/qzaf053,40493888,Spatial Transcriptomics Unveils the Blueprint of Mammalian Lung Development.,application,relevant,Mouse lung development,"['spatial transcriptomics', 'spatial epigenome']",weak_llm_annotated,2025-06-26T02:32:50.290588,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Integration with other omics', 'Cell-Cell Interaction Analysis', 'Trajectory Inference']",N/A,"To create a comprehensive spatial transcriptomic atlas of mouse lung development, uncover spatial TF regulation and cell-cell communication networks by integrating spatial epigenome, and delineate alveolar cell trajectories to understand the cellular and molecular orchestration of lung development.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_omics']","['spatial_transcriptomics', 'general_omics']",Lung,,Rodent
10.1097/HEP.0000000000001423,40489753,Tumor microenvironment heterogeneity and progression mechanisms in intrahepatic cholangiocarcinoma: A study based on single-cell and spatial transcriptomic sequencing.,application,relevant,Intrahepatic cholangiocarcinoma (ICC),"['single-cell sequencing', 'spatial transcriptomics', 'RNA-seq', 'multiplex immunofluorescence']",weak_llm_annotated,2025-06-26T02:33:26.466770,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To investigate tumor microenvironment heterogeneity and progression mechanisms in intrahepatic cholangiocarcinoma using single-cell and spatial transcriptomics. The study aimed to identify markers and mechanisms related to ICC invasion and lymphatic metastasis, and explore potential therapeutic targets.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics', 'Immunofluorescence(IF)', 'other_methods']","['spatial_transcriptomics', 'other_methods', 'transcriptomics', 'spatial_proteomics']",Liver,,
10.1007/s12033-025-01443-3,40488964,Integrative Single-Cell and Spatial Transcriptomics Reveal Functional and Spatial Heterogeneity of Atrial and Ventricular Cardiomyocytes in the Heart.,application,relevant,Atrial and Ventricular Cardiomyocytes in the Heart,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T02:33:51.255027,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Normalization', 'Dimension Reduction', 'Clustering', 'Cell-Cell Interaction Analysis', 'Integration with other omics', 'Spatial Gene Expression Analysis', 'Spatial Domain Identification']",N/A,"This study integrates scRNA-seq and spatial transcriptomics to elucidate the spatial distribution and intercellular communication of atrial and ventricular cardiomyocyte subtypes in the heart. It aims to reveal their distinct roles in energy metabolism, pump function, and regulatory functions within their anatomical context. The ultimate goal is to enhance the understanding of cardiac function complexity and identify potential therapeutic targets.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Heart,Cardiovascular Disease,
10.1186/s40478-025-02036-6,40483536,Single-cell transcriptome sequencing reveals new epithelial-stromal associated mesenchymal-like subsets in recurrent gliomas.,application,relevant,Glioma recurrence,"['snRNA-seq', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T02:34:22.259135,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To explore transcriptional and regulatory mechanisms driving glioma recurrence, focusing on mesenchymal-like subpopulations using single-nucleus and spatial transcriptomics. The study aimed to identify novel MES-like subpopulations, characterize their association with prognosis and invasiveness, and identify key regulators like EGR1 and SERPINE1.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-nucleus_RNA-seq(snRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),Cancer (General),
10.1016/j.xcrm.2025.102164,40482645,Spatial and genomic profiling of residual breast cancer after neoadjuvant chemotherapy unveil divergent fates for each breast cancer subtype.,application,relevant,Breast cancer after neoadjuvant chemotherapy,"['spatial transcriptomics', 'whole-genome sequencing']",weak_llm_annotated,2025-06-26T02:34:54.647514,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,Investigate mechanisms underlying divergent fates of breast cancers with high residual cancer burden across subtypes after neoadjuvant chemotherapy using single-cell spatial transcriptomics and genomic profiling. The study aims to unveil distinct genomic and microenvironmental strategies governing BC subtype-specific outcomes.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'other_methods']","['spatial_transcriptomics', 'other_methods']",Breast,Cancer (General),
10.1136/jitc-2024-011036,40555562,Ectopic expression of GDF15 in cancer-associated fibroblasts enhances melanoma immunosuppression via the GFRAL/RET cascade.,application,relevant,Melanoma,"['single-cell RNA-seq', 'spatial transcriptomics', 'bulk RNA-seq', 'western blotting', 'quantitative real-time PCR', 'ELISA', 'co-immunoprecipitation', 'chromatin immunoprecipitation', 'luciferase gene reporter assays', 'lentiviral transfection', 'cell co-culture experiments', 'recombinant protein rescue experiments', 'flow cytometry', 'knockout mice', 'Cre-loxP system mice']",weak_llm_annotated,2025-06-26T02:47:37.557268,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study characterizes the role of cancer-associated fibroblasts (CAFs) in the melanoma immune microenvironment. It identifies a unique group of CAFs expressing high GDF15, which enhances melanoma immunosuppression via the GFRAL/RET cascade, leading to increased tumor cell stemness and immunosuppressive macrophage polarization. The findings offer new targets for melanoma immunotherapy.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)', 'Bulk_RNAseq', 'Immunofluorescence(IF)', 'other_methods']","['irrelevant_terms', 'transcriptomics', 'spatial_transcriptomics', 'other_methods', 'spatial_proteomics']",Skin,Cancer (General),
10.1096/fj.202500965R,40540299,Deciphering the Regulatory Networks of the Migrasome-Associated Cell Subpopulation in Heterotopic Ossification via Multi-Omics Analysis.,application,relevant,Heterotopic ossification (HO),"['single-cell transcriptome', 'bulk transcriptome', 'spatial transcriptome', 'clinical samples']",weak_llm_annotated,2025-06-26T02:47:49.368246,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study aims to elucidate key biomolecular networks involved in heterotopic ossification (HO) through a comprehensive multi-omics analysis. It identified mesenchymal lineage cells (MLin) as a key migrasome-associated subtype and peptidylprolyl isomerase B (Ppib) and transgelin (Tagln) as key molecules, constructing their regulatory network and spatial distribution. The findings aim to facilitate the discovery of novel biomarkers for HO.",['Gene Expression Omnibus (GEO) database'],Not mentioned,N/A,,,,,"['irrelevant_terms', 'general_transcriptomics']","['irrelevant_terms', 'transcriptomics']",Bone/Joint,,
10.3389/fimmu.2025.1612987,40534868,Integrated transcriptomics and machine learning reveal REN as a dual regulator of tumor stemness and NK cell evasion in Wilms tumor progression.,application,relevant,Wilms tumor progression,"['single-cell RNA sequencing', 'spatial transcriptomics', 'bulk RNA-seq']",weak_llm_annotated,2025-06-26T02:47:55.226501,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study integrates transcriptomics and machine learning to identify REN as a key regulator in Wilms tumor. It investigates REN's dual role in promoting tumor stemness and facilitating NK cell evasion, aiming to uncover therapeutic strategies for high-risk WT cases.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Bulk_RNAseq', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Kidney,Cancer (General),
10.1186/s12967-025-06706-w,40524155,Single-cell and spatial transcriptome analyses reveal MAZ(+) NPC-like clusters as key role contributing to glioma recurrence and drug resistance.,application,relevant,Glioma,"['single-cell sequencing', 'spatial transcriptome', 'bulk RNA-seq', 'gene regulation assays']",weak_llm_annotated,2025-06-26T02:48:12.784199,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Clustering', 'Spatial Gene Expression Analysis', 'Gene Expression Regulation']",N/A,"This study investigates the heterogeneity of gliomas associated with Temozolomide (TMZ) resistance using single-cell and spatial transcriptomics. It identifies MAZ(+) NPC-like clusters as key contributors to glioma recurrence and drug resistance by enhancing stemness and DNA repair capacity, and proposes a combination therapy strategy.",[],Not mentioned,N/A,,,,,"['Bulk_RNAseq', 'irrelevant_terms', 'general_transcriptomics', 'other_methods']","['irrelevant_terms', 'transcriptomics', 'other_methods']",Nervous System (Brain/CNS),Cancer (General),
