doi,pmid,title,paper_type,relevance_score_llm,biological_context,data_modalities_used,annotation_status,llm_query_date,llm_model,is_method_paper,is_method_comparison_paper,review_type,methodology_type,covered_analysis_steps,pipeline_package_name,main_goals,data_links_mentioned,code_availability.status,code_availability.link_in_abstract_or_title,is_spatial_omics,is_disease_specific_review,is_pipeline_paper
10.1111/febs.15572,32976679,Spage2vec: Unsupervised representation of localized spatial gene expression signatures.,method,highly_relevant,Mouse brain,"['spatial transcriptomics', 'in situ RNA detection', 'spatial gene expression']",weak_llm_annotated,2025-06-26T01:52:04.001359,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,"['Dimension Reduction', 'Spatial Gene Expression Analysis']",spage2vec,"Present spage2vec, an unsupervised segmentation-free method using graph representation learning to create lower dimensional representations of local spatial gene expression. Apply it to mouse brain data to show it captures meaningful biological spatial information of localized gene expression signatures.","['https://doi.org/10.5281/zenodo.3897401', 'http://www.doi.org/10.5281/zenodo.4030404']",Other,http://www.doi.org/10.5281/zenodo.4030404,,,
10.1038/s41588-025-02120-6,40102688,Quantitative characterization of cell niches in spatially resolved omics data.,method,highly_relevant,"Mouse embryonic development, Human cancers (tumor niches), Whole mouse brain","['spatial omics', 'spatial multi-omics', 'sequencing']",weak_llm_annotated,2025-06-26T01:52:20.165515,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,"['Cell-Cell Interaction Analysis', 'Spatial Domain Identification', 'Clustering', 'Dimension Reduction', 'Spatial Reference Mapping']",NicheCompass,"Introduce NicheCompass, a graph deep-learning method to characterize cell niches in spatial omics data by modeling cellular communication. The method learns interpretable cell embeddings to identify and quantitatively characterize niches based on signaling events. It aims to be scalable and applicable across different tissues, disease contexts, and data modalities.",[],Not mentioned,N/A,,,
10.1186/s13059-022-02663-5,35422018,Explainable multiview framework for dissecting spatial relationships from highly multiplexed data.,method,highly_relevant,Breast cancer,"['IMC', 'spatial transcriptomics', 'multiplexed imaging']",weak_llm_annotated,2025-06-26T01:52:37.327956,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis', 'Integration with other omics']",MISTy,"Introduce MISTy, a flexible, scalable, and explainable machine learning framework for analyzing spatial omics data. It uses a multiview approach to dissect spatial relationships and interactions from different contexts and can relate findings to clinical features.",[],Not mentioned,N/A,,,
10.1038/s41467-023-42343-x,37848426,NeST: nested hierarchical structure identification in spatial transcriptomic data.,method,highly_relevant,N/A,['spatial transcriptomics'],weak_llm_annotated,2025-06-26T01:52:51.855583,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Spatial Domain Identification', 'Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis']",NeST,"This paper introduces NeST, a computational method for identifying nested hierarchical spatial structure in spatial transcriptomic data using coexpression hotspots. It also performs spatial analysis of cell-cell interactions de novo. The method is demonstrated on 2D and 3D ST datasets.",[],Not mentioned,N/A,,,
10.1038/nbt.4260,30371680,Identification of spatially associated subpopulations by combining scRNAseq and sequential fluorescence in situ hybridization data.,method,highly_relevant,Mouse visual cortex,"['scRNAseq', 'sequential fluorescence in situ hybridization']",weak_llm_annotated,2025-06-26T01:53:08.651983,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,"['Integration with other omics', 'Spatial Domain Identification', 'Spatial Gene Expression Analysis']",N/A,Developed a method to integrate scRNAseq and spatial transcriptomics data (sequential FISH) using a hidden Markov random field model. The method distinguishes intrinsic and extrinsic effects on gene expression to identify spatially associated subpopulations and spatial domains.,[],Not mentioned,N/A,,,
10.1038/s41596-024-01137-1,40133495,CellPhoneDB v5: inferring cell-cell communication from single-cell multiomics data.,method,relevant,N/A,"['single-cell genomics', 'spatial transcriptomics', 'single-cell ATAC-seq']",weak_llm_annotated,2025-06-26T01:53:25.140102,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Cell-Cell Interaction Analysis', 'Integration with other omics', 'Visualization']",CellPhoneDB,"This paper introduces CellPhoneDB v5, an updated bioinformatics toolkit for inferring cell-cell communication from single-cell data. It expands the interaction database, adds features for tailored queries, incorporates spatial and ATAC-seq data for prioritizing interactions, and introduces a visualization module. The goal is to enhance the precision of cell-cell communication inference.",[],Not mentioned,N/A,,,
10.1038/s41467-017-01689-9,29170529,Visual analysis of mass cytometry data by hierarchical stochastic neighbour embedding reveals rare cell types.,method,relevant,Immune cell composition in gastrointestinal disorders and other conditions studied with mass cytometry,['Mass Cytometry'],weak_llm_annotated,2025-06-26T01:53:43.061681,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,"['Dimension Reduction', 'Visualization', 'Clustering']",N/A,"Introduce Hierarchical Stochastic Neighbor Embedding (HSNE) for analyzing large, high-dimensional mass cytometry data. Overcome scalability limitations of t-SNE. Demonstrate HSNE's ability to identify rare cell populations.",[],Not mentioned,N/A,,,
10.1038/s41467-022-32111-8,35908020,Knowledge-graph-based cell-cell communication inference for spatially resolved transcriptomic data with SpaTalk.,method,highly_relevant,Normal and disease tissues,"['spatially resolved transcriptomics', 'single-cell transcriptomics', 'STARmap', 'Slide-seq', '10X Visium']",weak_llm_annotated,2025-06-26T01:54:04.156487,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Cell-Cell Interaction Analysis', 'Deconvolution', 'Spatial Mapping']",SpaTalk,"To present SpaTalk, a novel knowledge-graph-based method for inferring spatially resolved cell-cell communications from spatially resolved transcriptomic data. The tool models and scores ligand-receptor-target networks by integrating spatial mapping and cell-type deconvolution. It is benchmarked against existing methods and applied to various spatial datasets.",[],Not mentioned,N/A,,,
10.1093/bioadv/vbac048,36699413,Sparcle: assigning transcripts to cells in multiplexed images.,method,highly_relevant,N/A,"['MERFISH', 'smFISH', 'pciSeq', 'STARmap', 'multiplexed imaging']",weak_llm_annotated,2025-06-26T01:54:24.201937,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,"['Transcript Assignment', 'Cell Segmentation', 'Quantification', 'Clustering']",Sparcle,"Introduce Sparcle, a probabilistic model to reassign transcripts to cells in multiplexed spatial images. Overcome limitations of strict segmentation-based assignment by incorporating gene covariation and spatial features. Improve per-cell transcript quantification, cell boundary delineation, and downstream analyses like clustering.",[],GitHub link provided,https://github.com/sandhya212/Sparcle_for_spot_reassignments,,,
10.1038/s41467-023-44560-w,38218939,BIDCell: Biologically-informed self-supervised learning for segmentation of subcellular spatial transcriptomics data.,method,highly_relevant,N/A,"['spatial transcriptomics', 'snRNA-seq', 'multiplexed imaging']",weak_llm_annotated,2025-06-26T01:54:40.059626,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,['Cell Segmentation'],BIDCell,"The paper introduces BIDCell, a self-supervised deep learning framework using biologically-informed loss functions for segmenting subcellular spatial transcriptomics data. It incorporates cell-type data and morphology information. The goal is to improve cell segmentation accuracy compared to existing methods across various tissue types and platforms.",[],Not mentioned,N/A,,,
10.1016/j.media.2022.102384,35217454,NaroNet: Discovery of tumor microenvironment elements from highly multiplexed images.,method,highly_relevant,Cancer / Tumor Microenvironment,"['multiplexed imaging', 'multiplex-immunostained images', 'imaging mass cytometry']",weak_llm_annotated,2025-06-26T01:54:57.278517,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,"['Cell-Cell Interaction Analysis', 'Spatial Domain Identification', 'Predictive Modeling']",NaroNet,"To develop NaroNet, a deep learning framework for modeling the multi-scale tumor microenvironment from multiplexed images. It aims to unsupervisedly learn which cell phenotypes, neighborhoods, and interactions influence patient labels and provide interpretable predictions.",[],Not mentioned,N/A,,,
10.1038/s41592-024-02408-1,39227721,Mapping cellular interactions from spatially resolved transcriptomics data.,method,highly_relevant,N/A,"['spatially resolved transcriptomics', 'single-cell resolution spatial transcriptomics', 'MERSCOPE', 'Vizgen', 'CosMx', 'NanoString', 'Xenium', '10x', 'Transcriptome', 'Gene Expression Profiling']",weak_llm_annotated,2025-06-26T01:55:11.186634,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,['Cell-Cell Interaction Analysis'],Spacia,"Introduce Spacia, a multiple-instance learning framework for mapping cell-cell communication from single-cell resolution spatially resolved transcriptomics data. Highlight its advantages over existing methods, including handling multiple senders and avoiding prior databases. Evaluate Spacia's performance on MERSCOPE, CosMx, and Xenium data.",[],Not mentioned,N/A,,,
10.1101/2020.10.27.357640,,Unknown Title (from curated_dois.txt),other,irrelevant,N/A,[],weak_llm_annotated,2025-06-26T01:55:23.105137,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,N/A,[],Not mentioned,N/A,,,
10.1038/s41596-023-00881-0,37816904,An end-to-end workflow for multiplexed image processing and analysis.,method,highly_relevant,N/A,"['multiplexed imaging', 'imaging mass cytometry']",weak_llm_annotated,2025-06-26T01:55:38.590369,models/gemini-2.5-flash-preview-04-17,True,False,N/A,workflow,"['Image Processing', 'Image Segmentation', 'Feature Extraction', 'Spatially Resolved Single-Cell Analysis', 'Data Quality Assessment', 'Preprocessing', 'Dimensionality Reduction', 'Single-Cell Visualization', 'Phenotyping', 'Community Analysis', 'Cellular Neighborhood Detection', 'Cell-Cell Interaction Analysis']",N/A,"This paper presents an end-to-end workflow for processing and analyzing multiplexed tissue imaging data at single-cell resolution. It integrates existing tools for tasks such as segmentation, feature extraction, and spatially resolved single-cell analysis. The workflow aims to be user-friendly and customizable, facilitating the application of various computational methods.",['https://bodenmillergroup.github.io/IMCDataAnalysis/'],GitHub link provided,https://bodenmillergroup.github.io/IMCDataAnalysis/,,,
10.1016/j.cell.2015.05.047,26095251,Data-Driven Phenotypic Dissection of AML Reveals Progenitor-like Cells that Correlate with Prognosis.,method,low_relevance,"Acute myeloid leukemia (AML), healthy and leukemic cells, hematopoietic progenitors","['mass cytometry', 'sequencing']",weak_llm_annotated,2025-06-26T01:55:55.407867,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,"['Clustering', 'Dimension Reduction']",PhenoGraph,"Develop PhenoGraph, a data-driven algorithmic approach for defining cellular phenotypes in high-dimensional single-cell data (mass cytometry). Apply this method to AML to identify progenitor-like cells and correlate their phenotype with patient prognosis. Introduce new methods for large-scale single-cell heterogeneity analysis.",[],Not mentioned,N/A,,,
10.1038/s41556-024-01469-w,39223377,LIANA+ provides an all-in-one framework for cell-cell communication inference.,method,highly_relevant,N/A,"['single-cell transcriptomics', 'spatially resolved transcriptomics', 'multi-omics data']",weak_llm_annotated,2025-06-26T01:56:11.379525,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,['Cell-Cell Interaction Analysis'],LIANA+,"To introduce LIANA+, a scalable framework for inferring cell-cell communication from single-cell and spatially resolved data. It unifies established methodologies, integrates a rich knowledge base, supports multi-condition datasets and multi-omics, and provides an all-in-one solution for intercellular communication analysis.",[],GitHub link provided,https://github.com/saezlab/liana-py,,,
10.1016/j.cels.2018.02.010,29605184,Compensation of Signal Spillover in Suspension and Imaging Mass Cytometry.,method,highly_relevant,N/A,"['mass cytometry', 'imaging mass cytometry', 'CyTOF']",weak_llm_annotated,2025-06-26T01:56:28.555942,models/gemini-2.5-flash-preview-04-17,True,False,N/A,workflow,"['Preprocessing', 'Normalization']",N/A,"Develop a novel bead-based compensation workflow and R-based software to estimate and correct for signal spillover in suspension and imaging mass cytometry. Characterize spillover properties and demonstrate the method's utility to improve data quality, simplify panel design, and allow flexibility in antibody-metal pairing.",[],Not mentioned,N/A,,,
10.1101/2021.10.27.466045,,Unknown Title (from curated_dois.txt),other,irrelevant,N/A,[],weak_llm_annotated,2025-06-26T01:56:40.871937,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,N/A,[],Not mentioned,N/A,,,
10.1038/nmeth.4391,28783155,histoCAT: analysis of cell phenotypes and interactions in multiplex image cytometry data.,method,highly_relevant,Human breast cancer tissues,"['multiplexed imaging', 'IMC']",weak_llm_annotated,2025-06-26T01:57:14.705843,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Cell Segmentation', 'Cell-Cell Interaction Analysis', 'Spatial Domain Identification', 'Clustering', 'Visualization']",histoCAT,"Developed an open-source computational toolbox (histoCAT) for interactive, quantitative, and comprehensive analysis of multiplex image cytometry data. The tool enables exploration of individual cell phenotypes, cell-cell interactions, microenvironments, and morphological structures within intact tissues. Demonstrated the tool's abilities using highly multiplexed mass cytometry images of human breast cancer.",[],Other,N/A,,,
10.1038/s41467-022-29439-6,35365632,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder.,method,highly_relevant,N/A,['spatial transcriptomics'],weak_llm_annotated,2025-06-26T01:57:30.540860,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,"['Spatial Domain Identification', 'Denoising', 'Batch Correction', 'Clustering', 'Dimension Reduction', 'Spatial Gene Expression Analysis']",STAGATE,"Develop STAGATE, a graph attention auto-encoder framework, to identify spatial domains and denoise spatially resolved transcriptomics data. It integrates spatial information and gene expression, adaptively learns neighboring spot similarity, and can handle 3D data and batch effects.",[],Not mentioned,N/A,,,
10.1016/j.cels.2021.09.012,34653369,Tissue schematics map the specialization of immune tissue motifs and their appropriation by tumors.,method,highly_relevant,Human lymphoid tissue and human colorectal cancer tumor microenvironment,"['high-parameter imaging', 'multiplexed imaging']",weak_llm_annotated,2025-06-26T01:57:50.292585,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,"['Spatial Domain Identification', 'Spatial Pattern Analysis']",N/A,The paper introduces a computational approach for constructing tissue schematics (TSs) and a biological model for interpreting them from high-parameter imaging data. This method maps the spatial assembly of cellular neighborhoods into tissue motifs. It is applied to human lymphoid tissue and human colorectal cancer to understand tissue organization and its alteration in disease.,[],Not mentioned,N/A,,,
10.1038/s41467-023-39608-w,37414760,SpatialDM for rapid identification of spatially co-expressed ligand-receptor and revealing cell-cell communication patterns.,method,highly_relevant,"Melanoma, Ventricular-Subventricular Zone, Intestine","['spatial transcriptomics', 'single-cell transcriptomics']",weak_llm_annotated,2025-06-26T02:02:55.469488,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",SpatialDM,"To introduce SpatialDM, a statistical model and toolbox using a bivariant Moran's statistic for rapid identification of spatially co-expressed ligand-receptor pairs, local interaction spots, and communication patterns. The method aims to be scalable and robust, enabling discovery of context-specific cell cooperation and signalling.",[],Not mentioned,N/A,,,
10.1038/nmeth.4636,29553579,SpatialDE: identification of spatially variable genes.,method,highly_relevant,N/A,"['multiplexed imaging', 'spatial RNA-sequencing']",weak_llm_annotated,2025-06-26T02:03:06.847488,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Spatial Gene Expression Analysis', 'Clustering', 'Spatial Domain Identification']",SpatialDE,"Introduces SpatialDE, a statistical test for identifying genes with spatial expression patterns in spatial omics data. It also includes a spatial gene-clustering approach for expression-based tissue histology.",[],Not mentioned,N/A,,,
10.1038/s41592-019-0667-5,31819264,NicheNet: modeling intercellular communication by linking ligands to target genes.,method,relevant,Tumor and immune cell microenvironment,"['Transcriptome', 'Single-Cell Analysis', 'sequencing']",weak_llm_annotated,2025-06-26T02:03:28.425807,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,['Cell-Cell Interaction Analysis'],NicheNet,"To develop a computational method, NicheNet, for modeling intercellular communication by linking ligands to target genes. The method combines expression data with prior knowledge on signaling and gene regulatory networks to predict ligand-target links between interacting cells. It aims to infer active ligands and their gene regulatory effects on interacting cells, demonstrated using tumor and immune cell data.",[],GitHub link provided,https://github.com/saeyslab/nichenetr,,,
10.1101/2023.06.13.544751,,Unknown Title (from curated_dois.txt),other,irrelevant,N/A,[],weak_llm_annotated,2025-06-26T02:03:37.002396,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,N/A,[],Not mentioned,N/A,,,
10.1016/j.csbj.2024.10.048,39559774,PENGUIN: A rapid and efficient image preprocessing tool for multiplexed spatial proteomics.,method,highly_relevant,N/A,"['multiplexed imaging', 'spatial proteomics', 'multiplex spatial proteomics']",weak_llm_annotated,2025-06-26T02:03:46.839851,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Preprocessing', 'Normalization', 'Denoising', 'Background subtraction']",PENGUIN,"Develop PENGUIN, a rapid, efficient, and user-friendly image preprocessing tool for multiplexed spatial proteomics data. PENGUIN performs percentile normalization and denoising without manual annotation or machine learning, aiming to improve downstream tasks like cell segmentation and phenotyping.",[],Not mentioned,N/A,,,
10.1038/s41596-021-00550-0,34172973,Analyzing high-dimensional cytometry data using FlowSOM.,method,low_relevance,N/A,"['Flow Cytometry', 'high-dimensional cytometry data']",weak_llm_annotated,2025-06-26T02:03:57.804203,models/gemini-2.5-flash-preview-04-17,True,False,N/A,workflow,"['Preprocessing', 'Clustering', 'Visualization']",FlowSOM,"This paper provides a detailed protocol for analyzing high-dimensional cytometry data using the FlowSOM algorithm. It offers user guidelines, parameter descriptions, troubleshooting recommendations, and R code examples. The goal is to enable scientists without a strong bioinformatics background to analyze cytometry data using FlowSOM.",[],Not mentioned,N/A,,,
10.48550/arxiv.1806.03535,,Unknown Title (from curated_dois.txt),other,irrelevant,N/A,[],weak_llm_annotated,2025-06-26T02:04:06.929731,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,N/A,[],Not mentioned,N/A,,,
10.1038/s41467-021-23807-4,34112806,Cell segmentation-free inference of cell types from in situ transcriptomics data.,method,highly_relevant,Mouse brain,"['In Situ Hybridization, Fluorescence', 'osmFISH', 'MERFISH', 'smFISH']",weak_llm_annotated,2025-06-26T02:04:19.714054,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,"['Cell-type identification', 'Spatial Domain Identification']",SSAM,"Present SSAM, a segmentation-free computational framework for identifying cell types and tissue domains from in situ transcriptomics data. The method uses multidimensional mRNA density estimation and is applicable to various techniques. It is demonstrated on mouse brain datasets to identify known and discover new cell types.",[],Not mentioned,N/A,,,
10.1016/j.patter.2023.100829,37720335,S<sup>3</sup>-CIMA: Supervised spatial single-cell image analysis for identifying disease-associated cell-type compositions in tissue.,method,highly_relevant,"Colorectal cancer, Type 1 diabetes","['multiplexed imaging', 'high-dimensional proteomic imaging data', 'highly multiplexed fluorescence microscopy', 'imaging mass-cytometry']",weak_llm_annotated,2025-06-26T02:04:30.540563,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Spatial Domain Identification', 'Spatial Enrichment Analysis']",S3-CIMA,"To present S3-CIMA, a weakly supervised convolutional neural network model for detecting disease-specific spatial cell-type compositions from high-dimensional proteomic imaging data. The paper demonstrates its utility in identifying disease-associated microenvironment compositions in colorectal cancer and type 1 diabetes, evaluating it as a tool for discovering novel disease-associated spatial cellular interactions.",[],Not mentioned,N/A,,,
10.1038/s41467-021-26044-x,34625546,ClusterMap for multi-scale clustering analysis of spatial gene expression.,method,highly_relevant,"Mouse brain, placenta, gut, human cardiac organoids, complex tissues","['in situ transcriptomic measurements', 'spatially resolved RNA profiles', 'spatial gene expression']",weak_llm_annotated,2025-06-26T02:04:41.198195,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,"['Clustering', 'Spatial Domain Identification', 'Spatial Gene Expression Analysis']",ClusterMap,"Introduce ClusterMap, an unsupervised and annotation-free computational framework for multi-scale clustering analysis of spatial gene expression data. It uses point pattern analysis and density peak clustering to identify biologically meaningful structures from subcellular to tissue levels in 2D and 3D.",[],Not mentioned,N/A,,,
10.1186/s13059-020-02214-w,33303016,GCNG: graph convolutional networks for inferring gene interaction from spatial transcriptomics data.,method,highly_relevant,N/A,['spatial transcriptomics'],weak_llm_annotated,2025-06-26T02:04:51.875190,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",GCNG,"To develop a novel method, GCNG (Graph Convolutional Neural networks for Genes), for inferring gene interactions (both within and between cells) from spatial transcriptomics data. The method encodes spatial information as a graph and uses supervised training to improve upon prior methods and propose novel extracellular interacting gene pairs.",[],GitHub link provided,https://github.com/xiaoyeye/GCNG,,,
10.1038/nmeth.4634,29553578,Identification of spatial expression trends in single-cell gene expression data.,method,highly_relevant,Mouse hippocampus,"['spatial transcriptomics', 'sequential fluorescence in situ hybridization', 'single-cell RNA-seq']",weak_llm_annotated,2025-06-26T02:05:01.348495,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,['Spatial Gene Expression Analysis'],trendsceek,"To introduce a novel method, trendsceek, based on marked point processes for identifying genes with statistically significant spatial expression trends. The method is shown to find spatial gradients and hot spots in spatial transcriptomic, FISH, and low-dimensional scRNA-seq data.",[],Not mentioned,N/A,,,
